stop_id,stop_radius_m,stop_mode,stop_code,stop_name,stop_place,parent_stop_id,source_date,geom_text
1220120,20,bus,H2180,Junatie,1JUNAT,,2020-09-02,POINT (387005.5 6674255)
1220123,20,bus,H2156,Aleksis Kiven k. 28,,,2020-09-02,POINT (386506.7 6674260)
1220125,20,bus,H2131,Aleksis Kiven katu,,,2020-09-02,POINT (385830.8 6674846)
1220131,20,bus,H2172,Kumpulantie,,,2020-09-02,POINT (385908.8 6675087)
1220134,20,bus,H2175,Teollisuuskatu,,,2020-09-02,POINT (386338.2 6674693)
1291119,20,bus,H1514,Vihdintie,,,2020-09-02,POINT (382979.5 6676673)
1291167,20,bus,H1935,Vihdintie,,,2020-09-02,POINT (383487.9 6676459)
1291220,20,bus,H1513,Vihdintie,,,2020-09-02,POINT (382995.5 6676705)
1292122,20,bus,H2085,Hakamäentie,1KIVI,,2020-09-02,POINT (383748 6676440)
1292123,20,bus,H2086,Hakamäentie,,,2020-09-02,POINT (383938 6676417)
